word,assessment
a,neutralt
abborre,neutralt
abboten,neutralt
abnormitet,negativt
abrovinklar,neutralt
absolut,positivt
absoluta,neutralt
absorberad,positivt
absorberande,positivt
absorption,positivt
abstinens,neutralt
abstinensen,neutralt
abstrahera,neutralt
abstraheras,neutralt
abstrakt,neutralt
abstrakta,neutralt
abstraktare,neutralt
abstraktion,neutralt
abstraktionen,neutralt
abstraktioner,neutralt
absurd,negativt
absurda,negativt
absurt,negativt
accelererande,positivt
accelererar,positivt
accenten,neutralt
accentueras,neutralt
acceptabel,positivt
acceptabelt,positivt
acceptabla,positivt
acceptera,positivt
accepterar,positivt
accepterat,positivt
ack,negativt
ackompanjemanget,neutralt
ackompanjerad,neutralt
ackord,neutralt
ackorden,neutralt
ackumulator,positivt
ackumulatorn,positivt
action,positivt
ad,neutralt
addera,positivt
adderar,positivt
adderas,positivt
addition,positivt
adekvat,positivt
adjungerad,neutralt
adjunkterna,neutralt
adjö,negativt
administration,neutralt
administrationen,neutralt
administrationens,neutralt
administrativ,neutralt
administrativa,neutralt
administrativt,neutralt
administratör,neutralt
administratörer,neutralt
administrerande,neutralt
adrenalin,positivt
adress,neutralt
adressat,neutralt
adressaten,neutralt
adressbitarna,neutralt
adressbussar,neutralt
adressen,neutralt
adresser,neutralt
adressera,neutralt
adressering,neutralt
adresskonflikt,neutralt
adressområdet,neutralt
advokat,neutralt
advokaten,neutralt
advokater,neutralt
affekter,neutralt
affisch,neutralt
affischer,neutralt
affischerna,neutralt
affär,positivt
affären,positivt
affärer,positivt
affärerna,positivt
affärsbekanta,positivt
affärskamrater,positivt
affärskvinna,positivt
affärsmässig,positivt
aforismer,neutralt
afrika,neutralt
afrikagrupperna,neutralt
afrikanerna,neutralt
afrikanska,neutralt
afrikas,neutralt
afro-amerikan,neutralt
afton,neutralt
aftonbladet,neutralt
aftonbladets,neutralt
aftonens,neutralt
aga,negativt
agent,positivt
agenter,positivt
agentroman,neutralt
agera,positivt
agerande,positivt
agerar,positivt
aggregat,positivt
aggressionshämningar,negativt
aggressiv,positivt
aggressivt,positivt
agiteringsförbud,negativt
agneta,neutralt
